collection,group,name,type,light,dark
Colors,,primary/default,COLOR,#4A6FFF,#6A87FF
Colors,,primary/variant,COLOR,#3B5BE5,#4A6FFF
Colors,,primary/dark,COLOR,#2C42B0,#3B5BE5
Colors,,primary/container,COLOR,#ECF0FF,#1E2746
Colors,,primary/on-container,COLOR,#0C2379,#D7E0FF
Colors,,secondary/default,COLOR,#7A5AF8,#9578FF
Colors,,secondary/variant,COLOR,#6346E0,#7A5AF8
Colors,,secondary/container,COLOR,#F1ECFF,#262146
Colors,,secondary/on-container,COLOR,#330C79,#E9DFFF
Colors,,accent/default,COLOR,#F86E5A,#FF8A7A
Colors,,accent/variant,COLOR,#E05A46,#F86E5A
Colors,,accent/container,COLOR,#FFECEB,#462421
Colors,,accent/on-container,COLOR,#79160C,#FFDDD9
Colors,,success,COLOR,#28C76F,#3DD98B
Colors,,success-container,COLOR,#E0F7EA,#1A3B2A
Colors,,on-success-container,COLOR,#0B542C,#CFF2DE
Colors,,error,COLOR,#EA5455,#FF7273
Colors,,error-container,COLOR,#FFEDED,#3E1A1B
Colors,,on-error-container,COLOR,#7A1214,#FFDADA
Colors,,warning,COLOR,#FF9F43,#FFBF75
Colors,,warning-container,COLOR,#FFF4E6,#3E2F1B
Colors,,on-warning-container,COLOR,#663D0F,#FFEBD4
Colors,,background,COLOR,#F8F9FC,#121826
Colors,,surface,COLOR,#FFFFFF,#1B2437
Colors,,surface-variant,COLOR,#F0F2FA,#252E42
Colors,,divider,COLOR,#E8ECF4,#2E3850
Colors,,outline,COLOR,#CBD0DD,#5E6A84
Colors,,outline-variant,COLOR,#E8ECF4,#2E3850
Colors,,text/primary,COLOR,#2C3345,#F5F6FA
Colors,,text/secondary,COLOR,#6E7A94,#B0B7C9
Colors,,text/tertiary,COLOR,#9AA6BC,#8792AB
Colors,,text/disabled,COLOR,#CBD0DD,#5E6A84
Colors,,category/career,COLOR,#4A6FFF,#4A6FFF
Colors,,category/career-container,COLOR,#ECF0FF,#ECF0FF
Colors,,category/career-gradient-end,COLOR,#2C42B0,#2C42B0
Colors,,category/financial,COLOR,#28C76F,#28C76F
Colors,,category/financial-container,COLOR,#E0F7EA,#E0F7EA
Colors,,category/financial-gradient-end,COLOR,#1AAC59,#1AAC59
Colors,,category/physical,COLOR,#FF9F43,#FF9F43
Colors,,category/physical-container,COLOR,#FFF4E6,#FFF4E6
Colors,,category/physical-gradient-end,COLOR,#E88B2E,#E88B2E
Colors,,category/social,COLOR,#7A5AF8,#7A5AF8
Colors,,category/social-container,COLOR,#F1ECFF,#F1ECFF
Colors,,category/social-gradient-end,COLOR,#6346E0,#6346E0
Colors,,category/emotional,COLOR,#00CFE8,#00CFE8
Colors,,category/emotional-container,COLOR,#E0F9FC,#E0F9FC
Colors,,category/emotional-gradient-end,COLOR,#00A1B5,#00A1B5
Colors,,category/spiritual,COLOR,#EA5455,#EA5455
Colors,,category/spiritual-container,COLOR,#FFEDED,#FFEDED
Colors,,category/spiritual-gradient-end,COLOR,#D03A3B,#D03A3B
Colors,,category/family,COLOR,#6236FF,#6236FF
Colors,,category/family-container,COLOR,#EDE6FF,#EDE6FF
Colors,,category/family-gradient-end,COLOR,#4A2BC8,#4A2BC8
Colors,,category/learning,COLOR,#28C3D7,#28C3D7
Colors,,category/learning-container,COLOR,#DFF7FB,#DFF7FB
Colors,,category/learning-gradient-end,COLOR,#1A9AAB,#1A9AAB
Colors,,category/other,COLOR,#9E9FA3,#9E9FA3
Colors,,category/other-container,COLOR,#F0F0F0,#F0F0F0
Colors,,category/other-gradient-end,COLOR,#75767A,#75767A
Colors,,gradient/primary-start,COLOR,#667EEA,#667EEA
Colors,,gradient/primary-end,COLOR,#764BA2,#764BA2
Colors,,gradient/success-start,COLOR,#11998E,#11998E
Colors,,gradient/success-end,COLOR,#38EF7D,#38EF7D
Colors,,gradient/warm-start,COLOR,#F093FB,#F093FB
Colors,,gradient/warm-end,COLOR,#F5576C,#F5576C
Colors,,gradient/sunset-start,COLOR,#FF9A9E,#FF9A9E
Colors,,gradient/sunset-end,COLOR,#FECFEF,#FECFEF
Colors,,gradient/ocean-start,COLOR,#2193B0,#2193B0
Colors,,gradient/ocean-end,COLOR,#6DD5ED,#6DD5ED
Spacing,,none,FLOAT,0,0
Spacing,,xxs,FLOAT,4,4
Spacing,,xs,FLOAT,8,8
Spacing,,sm,FLOAT,12,12
Spacing,,md,FLOAT,16,16
Spacing,,lg,FLOAT,20,20
Spacing,,xl,FLOAT,24,24
Spacing,,xxl,FLOAT,32,32
Spacing,,list-item-gap,FLOAT,12,12
Spacing,,section-gap,FLOAT,24,24
Spacing,,screen-horizontal,FLOAT,16,16
Spacing,,screen-vertical,FLOAT,16,16
Spacing,,card-content,FLOAT,16,16
Spacing,,card-content-lg,FLOAT,20,20
Radius,,xs,FLOAT,8,8
Radius,,sm,FLOAT,12,12
Radius,,md,FLOAT,16,16
Radius,,lg,FLOAT,20,20
Radius,,xl,FLOAT,24,24
Radius,,full,FLOAT,100,100
Sizing,,button-height,FLOAT,48,48
Sizing,,chip-height,FLOAT,32,32
Sizing,,input-height,FLOAT,56,56
Sizing,,fab,FLOAT,56,56
Sizing,,fab-small,FLOAT,40,40
Sizing,,progress-bar,FLOAT,8,8
Sizing,,divider,FLOAT,1,1
Sizing,,icon-xs,FLOAT,16,16
Sizing,,icon-sm,FLOAT,20,20
Sizing,,icon-md,FLOAT,24,24
Sizing,,icon-lg,FLOAT,32,32
Sizing,,icon-xl,FLOAT,48,48
Sizing,,avatar,FLOAT,72,72
Sizing,,empty-state-icon,FLOAT,64,64
Sizing,,category-indicator,FLOAT,8,8
